speaker,text,onset_time,offset_time
D,Funky sh stuff like that,0.37,1.55
A,Wonder how much of meetings is talking about the stuff at the meetings,0.96,3.16
C,Yeah exactly yeah yeah yeah,3.58,4.78
D,Yeah Yeah Look at all this stuff man,3.75,6.34
A,Yeah,6.65,6.65
B,Okay,8.60,8.60
D,Okay Right,8.72,11.83
B,So what do we need to talk about,12.32,14.31
C,Should we,13.20,13.59
D,Has anybody,14.98,15.11
C,Well should we just go around and everyone says what they d what they've been doing how far they've got,15.21,19.68
D,Has anybody done anything,19.08,19.62
A,Not a lot No,21.47,23.11
C,Well I hope so,24.17,24.67
A,Hmm Okay Sounds like you've done some stuff So,25.50,28.20
B,Yeah,25.76,25.76
D,You better start,28.43,28.83
C,Okay Well I've got a browser now which Whoops Already gone,29.84,34.27
B,Uh Yeah,30.51,32.53
A,'Kay,32.58,32.58
B,Good start,35.49,35.68
C,Mm-hmm,36.34,36.34
B,Oh I don't mind as well,38.05,38.89
D,Good at this,41.78,42.98
B,This wasn't a good start,43.72,44.67
C,Yeah,43.96,43.96
B,Okay,48.29,48.29
C,Okay,48.72,48.72
B,Sorry Yeah,49.32,49.78
C,So yeah We've go a browser we've um,50.38,53.19
C,which comes up automatically with a transcription box and the topics,54.36,58.15
C,And then when you go on the menu you can select a summarisation box which pops up and an audio player,59.35,66.31
D,Right,68.23,68.23
C,Um and a s I think the search works as well so you could pop up a search And it loads up um just the background window is empty and um so,68.79,78.08
C,when you start you have to either open open,79.09,80.51
C,a particular observation or do a search and open it through that,81.60,84.56
C,Does that make sense Um,86.48,88.61
C,the transcription box has got a summarise but button which doesn't do anything yet,90.10,94.97
C,Um now,96.03,97.25
C,I wonder wh how we wanna do you know we want a pop-up window with the speaker characterisation,98.55,103.01
C,Um either we could do that you know when does the pop-up come Either we can when you click on the the I_D_ any sort of I_D_ in the transcription box,106.20,114.56
D,D yeah,106.38,106.41
A,Hmm,106.69,106.69
C,or we can put an extra button extra few buttons next to the summarise button so that you actually in the transcription box but so like you click on a button and then that opens whatever that speaker characterisation is,115.82,127.12
C,The problem is the r the left-click is already used because it highlights that um,128.38,134.32
C,that part of speech or whatever that what he's been saying you know the,136.62,139.48
D,The l the left-click or the right-click,138.78,140.20
C,the left-click highlights it So that you can,140.62,143.41
B,Yeah,140.88,140.88
D,Right,142.17,142.17
B,Can you double-click or,142.58,143.77
C,I don't know what happens when you double-click actually but that'd be a bit annoying if you have left-click for one thing and double-click for something else,145.13,151.43
B,Yeah I don't know,152.40,152.66
C,Um,152.91,152.91
C,I think so yeah when you left-click it you can for example set set the marker there so that the mm the audio goes from there I think,153.99,160.39
C,Um so we can't put it on left-click We could put it on a right-click,162.68,165.26
C,We could for example have a little menu that pops up,166.38,168.50
D,Yeah it might be quite good I suppose Yeah,169.45,170.81
C,So right-click on at menu you know and you can,170.64,172.97
C,click on speaker characterisation up pops the window,174.06,176.26
D,What else could we have in the,176.92,177.76
D,menu,179.41,179.41
C,That's a good point I don't know,180.37,181.94
D,Okay So otherwise you just have a right-click or do you have have,182.43,185.39
C,Nothing else,182.96,183.21
A,Hmm Everything,183.16,183.72
C,Yeah yeah but um I don't know about you but uh usually in Windows right-click,185.12,189.04
A,Yeah Hmm,185.17,185.90
B,Yeah,186.03,186.03
D,a,186.77,186.77
C,doesn't do anything does it It opens a menu Yeah so,190.05,193.22
D,Is a window,190.08,190.28
D,A menu yeah yeah Yeah it's why And so it might be a bit weird the fir to just start bringing up stuff and then it,192.31,197.81
B,And then,192.99,193.13
C,yeah So but that'd be yeah you,194.25,196.99
A,Yeah Yeah,194.85,196.63
A,Yeah To just have the sort of main same sort of idiom throughout kinda So,198.00,202.42
C,Yeah,202.12,202.12
D,Yeah,203.25,203.25
A,Hmm,203.92,203.92
C,Um or just you know or just the button,204.64,206.07
A,Yeah,207.60,207.60
B,I guess a button button makes a bit more sense 'cause otherwise you don't really know that oh,207.74,214.53
B,what if I right-click now what happens then It's like more if visual Yeah,215.55,220.21
C,Well no no you still have the menu the menu pop up that,218.28,221.32
A,Hmm,218.41,218.41
D,Yeah Yeah It's more,218.99,220.96
C,Well oh yeah It's more obvious isn't w what you can do Yeah Yeah that's right That's true yeah it's more intuitive really isn't it,223.03,230.98
B,Do you see my,224.94,225.22
D,It's more idiot proof isn't it It's got a button,225.08,226.85
B,Yeah,228.18,228.18
A,Yeah,228.66,228.66
A,Yeah But then it's as extensible Like if we wanna add more things in the future then we have to well new buttons I don't know Whereas a menu type thing is more flexible that way But We're probably not gonna be adding too many things,229.80,240.04
B,But well we we can have both but whatever,231.19,232.83
D,Add more buttons,234.62,234.97
C,Maybe maybe,235.54,236.37
D,Yeah Well in uh I guess in in In meeting browser one point one you can have a menu instead of a button,238.90,244.62
A,Okay exactly know I know True true,243.02,245.56
D,but this why I don't think it Yeah,247.31,250.32
A,Yes,247.46,247.46
C,In the beta version Um but actually what we could do is on in that menu as well we could have an option that pops up a window with all the,248.74,256.95
C,all the meetings that that user has been in,258.22,259.86
A,Hmm,261.15,261.15
C,Like a search for that user,261.35,262.77
D,Yep,263.41,263.41
C,Is that gonna be useful or too much Or,264.38,266.35
D,I guess so So what did you part of the m the menu that comes down it says give me all your meetings or something,267.62,272.57
C,Yeah so y when you right-click on it one one option will be give me all your meetings characterise the speaker,272.71,278.66
D,Yep,280.12,280.12
C,Or is that too much I mean,284.08,284.99
B,Yeah um I don't,285.11,285.82
D,I guess so It's an idea Get to use my pen,286.06,288.46
B,I mean it w it's more like part of the,286.84,289.96
B,browsing sort of thingy More than the speaker,291.76,294.61
B,characterisation as m Steve mentioned Um I don't really know how to involve the speaker characterisation into the,295.77,301.80
C,Yeah Yeah that's true yeah Yeah,296.86,299.09
A,Hmm Yeah,298.67,299.48
C,Yeah that's true It'd nice to have it inconnec interconnected like,301.01,303.52
A,Actually,301.45,301.45
A,Yeah but maybe tie that in with dialogue acts or something as well I mean speaker characterisation tied into I don't know Di Just some way to sort of leverage that information Like we have it we're doing it but what how does it help the browsing Or what can it give us in the browsing,303.36,316.71
C,Or you mean the the speaker characterisation Oh well yeah I mean,316.61,319.49
A,Yeah Yeah,317.89,319.23
C,I don't know about that I mean it's the speaker characterisation is a bit like you said I mean it's like a nice thing We don't we're not actually sure what the user wants with it but it's interesting so why not give it to him,321.38,331.95
A,Hmm,325.97,325.97
D,Yeah yeah,332.74,332.99
A,Right,333.30,333.30
B,Yeah well,333.87,333.96
C,I I think we should do it I mean,334.08,335.20
B,Yeah,335.38,335.38
B,I mean I guess maybe we could have that as another thing of like well if you get the speaker characterisation that someone s talks a lot in uh a certain topic and then if you I don't know click on that topic you get,336.48,350.91
B,everything that's in that topic or whatever And in that way but I don't know,352.11,356.18
C,Yeah I mean that's that's still another level further I mean we're not even there yet You know it doesn't even doesn't even pop up the speaker characterisation yet Y we have to first define what what happens when you click on a user,354.75,363.85
B,no no Yeah,358.95,359.50
D,Oh yeah,359.54,359.58
D,We have to have a speaker characterisation first before we cross any of the other bridges So yeah there you,364.43,368.66
C,Yeah,366.96,366.96
A,Yeah,367.39,367.39
C,Yes,367.98,367.98
A,True yeah,368.44,368.95
